Genus	pHAGD7_f2	pHAGD7_f3	pHAGD7_f7	pHAGD7_f8
Bacteria;AC1;AC1_cl;AC1_or;AC1_fa;AC1_ge	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Acidobacteriaceae_(Subgroup_1)_ge	0	0	5	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Acidobacteriaceae_(Subgroup_1)_unclassified	0	4	5	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Acidobacterium	1	0	0	8
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Bryocella	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Candidatus_Koribacter	2739	2172	1238	1815
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Edaphobacter	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Granulicella	15	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);uncultured	2261	1725	1114	1870
Bacteria;Acidobacteria;Acidobacteria_unclassified;Acidobacteria_unclassified;Acidobacteria_unclassified;Acidobacteria_unclassified	0	0	0	0
Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae_(Subgroup_4);11-24	0	0	3	2
Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae_(Subgroup_4);Blastocatellaceae_(Subgroup_4)_unclassified	0	0	0	0
Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae_(Subgroup_4);DS-100	0	0	0	0
Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae_(Subgroup_4);RB41	0	0	0	0
Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae_(Subgroup_4);Tellurimicrobium	10	0	2	0
Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae_(Subgroup_4);uncultured	1	0	0	0
Bacteria;Acidobacteria;Holophagae;Holophagae_Incertae_Sedis;Unknown_Family;Thermoanaerobaculum	3	1	3	2
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;uncultured	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Subgroup_10;ABS-19;ABS-19_ge	1	0	0	1
Bacteria;Acidobacteria;Holophagae;Subgroup_10;Sva0725;Sva0725_ge	15	0	0	0
Bacteria;Acidobacteria;Holophagae;Subgroup_23;Subgroup_23_fa;Subgroup_23_ge	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Subgroup_7;Subgroup_7_fa;Subgroup_7_ge	11	0	3	8
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae_(Subgroup_3);AKIW659	495	309	306	415
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae_(Subgroup_3);Bryobacter	736	503	437	997
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae_(Subgroup_3);Candidatus_Solibacter	1229	1032	714	1281
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae_(Subgroup_3);GOUTB8	0	0	0	1
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae_(Subgroup_3);Paludibaculum	17	11	8	67
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae_(Subgroup_3);PAUC26f	0	0	0	0
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae_(Subgroup_3);Solibacteraceae_(Subgroup_3)_unclassified	4	2	5	6
Bacteria;Acidobacteria;Subgroup_11;Subgroup_11_or;Subgroup_11_fa;Subgroup_11_ge	0	0	0	0
Bacteria;Acidobacteria;Subgroup_12;Subgroup_12_or;Subgroup_12_fa;Subgroup_12_ge	6	15	12	3
Bacteria;Acidobacteria;Subgroup_13;Subgroup_13_or;Subgroup_13_fa;Subgroup_13_ge	1	0	0	0
Bacteria;Acidobacteria;Subgroup_15;Subgroup_15_or;Subgroup_15_fa;Subgroup_15_ge	0	6	1	4
Bacteria;Acidobacteria;Subgroup_17;Subgroup_17_or;Subgroup_17_fa;Subgroup_17_ge	20	39	1	32
Bacteria;Acidobacteria;Subgroup_18;Subgroup_18_or;Subgroup_18_fa;Subgroup_18_ge	542	385	233	354
Bacteria;Acidobacteria;Subgroup_2;Subgroup_2_or;Subgroup_2_fa;Subgroup_2_ge	0	0	0	1
Bacteria;Acidobacteria;Subgroup_20;Subgroup_20_or;Subgroup_20_fa;Subgroup_20_ge	0	0	1	0
Bacteria;Acidobacteria;Subgroup_21;Subgroup_21_or;Subgroup_21_fa;Subgroup_21_ge	53	60	10	27
Bacteria;Acidobacteria;Subgroup_22;Subgroup_22_or;Subgroup_22_fa;Subgroup_22_ge	0	0	0	1
Bacteria;Acidobacteria;Subgroup_25;Subgroup_25_or;Subgroup_25_fa;Subgroup_25_ge	2	0	1	0
Bacteria;Acidobacteria;Subgroup_5;Subgroup_5_or;Subgroup_5_fa;Subgroup_5_ge	73	43	22	51
Bacteria;Acidobacteria;Subgroup_6;Subgroup_6_or;Subgroup_6_fa;Subgroup_6_ge	580	498	272	382
Bacteria;Acidobacteria;Subgroup_6;Unknown_Order;Unknown_Family;Vicinamibacter	9	11	6	6
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobiaceae_unclassified	1	0	1	1
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;CL500-29_marine_group	7	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;uncultured	12	44	2	2
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiales_Incertae_Sedis;Aciditerrimonas	6	7	1	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiales_Incertae_Sedis;Candidatus_Microthrix	1	2	4	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiales_unclassified;Acidimicrobiales_unclassified	1	4	4	2
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia	3	3	0	2
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;uncultured;uncultured_ge	94	90	27	34
Bacteria;Actinobacteria;Actinobacteria;Actinobacteria_unclassified;Actinobacteria_unclassified;Actinobacteria_unclassified	12	28	14	16
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1	1	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	39	29	5	18
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia	0	7	1	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus	1	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Cryptosporangiaceae;Fodinicola	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans	27	0	3	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiales_unclassified;Frankiales_unclassified	72	56	40	72
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus	36	8	11	9
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus	64	47	27	81
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella	3	1	1	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;uncultured	5	3	1	2
Bacteria;Actinobacteria;Actinobacteria;Frankiales;uncultured;uncultured_ge	14	14	7	24
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter	4	8	5	2
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera	176	90	41	52
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea	1	1	2	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Kytococcus	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter	117	130	81	178
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus	14	43	5	5
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Phycicoccus	24	3	7	10
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Terrabacter	27	2	6	15
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera	11	40	7	29
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces	1	10	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium	1	1	0	24
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Gryllotalpicola	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Lysinimonas	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus	27	18	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter	91	11	4	15
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Catellatospora	6	32	12	10
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Dactylosporangium	11	5	5	11
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Hamadaea	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Luedemannella	29	47	0	9
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	4	7	9	4
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonosporaceae_unclassified	50	34	5	23
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Planosporangium	27	2	1	0
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;uncultured	31	7	2	7
